distancia_atual;distancia_anterior;temperatura;umidade;vento;insolacao;evaporacao;chuva;datahora
293.00;65.00;20.90;51.10;8.00;0.60;0.50;11.50;06/02/2020 00:39
67.00;293.00;26.80;34.20;0.90;11.50;5.40;0.00;01/11/2023 19:28
125.00;67.00;22.00;65.90;0.60;10.60;5.50;0.00;09/02/2023 02:25
114.00;125.00;25.70;61.90;2.60;6.60;3.10;0.70;05/12/2023 08:53
133.00;114.00;21.40;47.30;8.20;0.40;0.60;98.80;23/09/2020 10:34
273.00;133.00;22.20;69.00;2.90;7.90;4.90;0.50;09/03/2023 22:15
299.00;273.00;25.60;91.10;8.40;0.10;0.00;15.00;24/12/2023 03:33
295.00;299.00;30.10;75.00;5.40;0.20;1.20;28.50;20/09/2023 12:38
200.00;295.00;18.30;62.30;8.70;0.20;1.40;39.80;12/05/2021 13:55
109.00;200.00;16.20;63.50;8.20;0.30;0.90;125.50;19/08/2022 21:14
256.00;109.00;28.50;53.80;1.30;8.20;3.80;1.20;01/09/2021 13:45
68.00;256.00;23.10;46.90;1.00;10.30;4.20;0.00;29/08/2023 20:34
235.00;68.00;16.00;37.20;2.30;4.90;1.50;2.80;26/01/2021 00:27
112.00;235.00;18.40;59.70;1.00;8.60;4.40;0.00;13/09/2022 17:58
147.00;112.00;20.90;76.90;2.10;9.20;3.70;1.50;25/12/2022 19:22
96.00;147.00;15.70;51.70;1.70;11.40;4.40;0.00;17/07/2024 06:41
137.00;96.00;18.30;40.60;1.10;7.00;2.60;1.00;31/07/2020 12:53
182.00;137.00;16.50;42.60;1.30;8.30;6.40;0.00;18/05/2021 21:59
225.00;182.00;22.40;63.20;16.60;0.40;0.80;139.70;21/03/2020 09:59
142.00;225.00;25.40;57.60;2.80;9.40;3.10;1.00;20/09/2023 03:50
81.00;142.00;34.90;62.70;8.30;0.20;1.30;23.40;14/01/2025 13:34
72.00;81.00;24.90;76.90;0.90;8.50;6.20;0.00;11/03/2025 21:04
226.00;72.00;27.90;78.00;1.90;6.80;4.90;1.40;07/03/2024 06:03
225.00;226.00;23.40;51.90;3.10;2.10;2.70;9.80;04/02/2023 18:32
229.00;225.00;28.90;69.90;3.20;5.50;1.20;7.20;31/08/2021 11:12
209.00;1.99;23.40;59.50;12.70;0.40;0.10;136.70;20/07/2022 17:24
176.00;209.00;26.30;44.70;10.70;0.40;0.20;92.80;10/10/2024 06:13
168.00;176.00;31.90;76.80;3.70;3.50;2.10;9.00;07/10/2022 16:16
160.00;168.00;25.50;48.40;15.40;0.60;0.00;70.30;09/08/2024 00:26
190.00;160.00;19.70;63.40;3.30;5.60;2.30;3.00;30/06/2024 06:07
225.00;190.00;19.20;53.80;18.70;0.90;0.70;140.70;21/04/2023 19:40
205.00;225.00;20.40;48.20;1.60;9.20;6.50;0.00;09/01/2023 06:01
142.00;205.00;33.20;84.50;0.80;8.70;5.30;0.00;19/09/2023 23:46
53.00;142.00;15.90;48.60;0.50;10.80;6.80;0.00;31/05/2021 06:33
236.00;53.00;16.40;57.00;0.90;8.70;5.10;0.00;29/06/2024 00:05
232.00;236.00;34.70;69.10;4.70;1.80;0.30;24.30;04/08/2024 10:50
67.00;232.00;34.70;41.60;1.10;8.30;3.20;1.60;09/02/2021 18:02
97.00;67.00;15.40;62.70;2.00;2.90;1.10;3.40;08/02/2023 11:37
205.00;97.00;22.70;48.10;3.00;5.20;2.80;7.00;25/06/2022 01:27
116.00;205.00;33.20;80.10;2.50;5.60;1.90;9.30;14/05/2021 16:22
232.00;116.00;21.10;32.10;18.10;0.00;0.00;90.10;08/03/2020 23:14
184.00;232.00;30.20;90.30;2.40;5.10;2.40;5.00;13/12/2022 12:12
296.00;184.00;26.60;36.30;6.50;1.60;1.00;34.60;18/08/2024 00:06
51.00;296.00;21.10;65.90;2.50;3.80;2.50;9.90;07/01/2022 05:45
297.00;51.00;34.00;77.80;1.30;9.60;2.10;0.90;01/12/2021 20:41
131.00;297.00;34.10;55.00;3.10;2.90;2.70;7.40;05/09/2021 18:45
96.00;131.00;25.20;49.50;8.60;0.10;0.40;118.10;18/08/2022 08:07
106.00;96.00;20.70;56.60;1.70;11.50;5.80;0.00;08/02/2024 03:24
198.00;106.00;29.40;60.40;12.00;0.40;0.00;140.70;02/11/2023 03:42
219.00;198.00;34.60;35.10;1.00;9.30;3.40;0.10;28/11/2024 00:19
262.00;219.00;32.80;77.80;12.50;0.80;0.20;117.50;30/10/2023 03:32
222.00;262.00;29.60;55.60;1.30;8.90;2.30;1.30;06/04/2025 10:18
297.00;222.00;32.70;30.80;2.70;8.10;2.70;0.10;22/06/2020 19:06
117.00;297.00;19.90;38.80;1.00;9.30;6.20;0.00;31/01/2025 10:05
226.00;117.00;24.90;67.20;1.90;11.10;5.20;0.00;20/12/2021 00:52
172.00;226.00;30.00;82.20;1.10;6.20;3.10;0.10;06/01/2023 07:49
61.00;172.00;27.50;66.40;9.20;0.60;0.30;64.90;09/05/2020 00:58
71.00;61.00;23.30;77.30;3.00;4.30;2.80;7.50;22/11/2023 22:34
113.00;71.00;31.90;66.90;2.30;7.80;2.90;0.10;11/10/2020 10:44
70.00;113.00;32.60;40.40;0.50;11.00;5.30;0.00;18/02/2024 04:21
153.00;70.00;34.00;61.30;1.90;9.90;5.10;0.00;06/10/2021 02:36
287.00;153.00;15.50;90.20;5.50;0.50;0.00;42.30;22/09/2024 17:22
195.00;287.00;29.70;66.90;2.30;9.50;4.60;1.70;20/12/2023 23:51
296.00;195.00;29.60;47.00;8.30;1.10;1.80;30.60;02/10/2023 20:16
277.00;296.00;29.10;91.20;2.60;3.30;2.50;6.40;07/10/2024 21:39
273.00;277.00;34.90;66.30;7.20;0.80;0.00;32.20;22/05/2024 01:47
277.00;273.00;31.70;47.30;7.00;2.90;0.40;49.70;22/12/2023 06:48
133.00;277.00;25.30;54.10;1.60;8.30;4.50;0.00;23/06/2022 15:17
159.00;133.00;28.60;41.40;1.30;8.20;4.60;0.00;02/04/2020 03:25
194.00;159.00;22.80;34.70;7.10;2.30;1.00;21.30;23/10/2024 09:55
231.00;194.00;17.40;75.20;8.70;0.60;0.30;91.10;28/03/2021 21:29
74.00;231.00;19.70;32.90;5.00;0.90;0.30;24.60;09/09/2023 00:26
155.00;74.00;24.70;56.10;14.20;0.80;0.30;101.90;15/12/2022 22:08
162.00;155.00;25.00;84.80;1.30;6.50;2.90;0.70;10/02/2022 19:15
225.00;162.00;22.10;69.30;3.10;3.90;1.50;9.90;22/02/2021 16:17
285.00;225.00;15.90;82.20;2.90;3.00;1.70;2.80;24/12/2024 10:19
208.00;285.00;24.80;74.50;5.20;2.90;1.70;19.50;28/06/2021 00:53
171.00;208.00;16.40;94.40;17.10;0.30;0.90;116.40;22/08/2020 03:34
138.00;171.00;21.10;37.30;12.70;0.20;0.90;115.30;16/01/2025 01:50
129.00;138.00;28.50;66.30;2.30;5.90;1.60;3.00;18/07/2020 06:25
137.00;129.00;24.50;36.40;2.30;9.30;2.90;0.20;09/06/2021 03:57
189.00;137.00;34.80;91.80;1.50;6.30;3.20;1.30;07/05/2021 00:10
80.00;189.00;17.10;66.30;1.70;10.60;6.90;0.00;02/09/2022 02:36
136.00;80.00;34.40;61.80;8.50;0.30;0.40;78.70;03/11/2023 13:45
111.00;136.00;27.30;61.50;11.10;0.40;0.40;71.20;29/01/2020 07:27
294.00;111.00;23.90;33.50;15.10;0.90;0.90;146.00;13/06/2021 23:58
95.00;294.00;22.60;84.50;9.10;0.10;0.60;64.00;13/07/2021 04:03
284.00;95.00;15.90;35.80;6.00;2.50;1.20;48.90;06/05/2022 06:59
298.00;284.00;34.70;43.40;1.60;10.70;6.40;0.00;02/01/2023 09:28
182.00;298.00;27.40;61.30;2.70;6.40;2.00;1.60;15/12/2021 02:40
252.00;182.00;30.40;59.30;2.70;4.10;2.90;6.50;05/12/2022 21:38
223.00;252.00;26.80;73.30;0.60;11.70;4.60;0.00;19/05/2020 18:21
138.00;223.00;27.80;49.10;8.50;0.80;0.60;56.70;28/05/2020 01:11
152.00;138.00;18.60;63.20;16.00;0.50;0.90;96.50;17/05/2020 00:31
280.00;152.00;25.40;35.30;1.20;6.10;3.40;1.90;22/12/2023 07:25
221.00;280.00;32.40;73.00;2.20;9.80;3.00;1.60;09/06/2024 01:11
93.00;221.00;17.00;38.60;6.20;0.20;0.90;12.60;15/11/2023 13:09
279.00;93.00;27.90;32.50;2.50;8.60;2.60;0.10;21/01/2023 02:13
255.00;279.00;34.40;78.40;0.70;10.60;6.00;0.00;14/04/2022 17:41
255.00;255.00;26.10;68.20;17.60;0.80;0.20;89.80;22/09/2021 18:56
251.00;255.00;22.00;56.00;1.50;8.10;4.50;0.00;24/02/2023 03:41
201.00;251.00;31.30;70.10;7.10;2.30;0.60;40.90;29/09/2020 10:21
101.00;201.00;17.20;31.50;1.20;6.90;4.70;1.20;24/04/2022 04:17
232.00;101.00;27.50;65.00;3.60;2.70;2.90;6.80;24/10/2024 00:48
131.00;232.00;34.50;49.90;2.30;6.40;2.40;0.80;27/12/2024 01:52
290.00;131.00;24.50;45.20;4.40;0.40;1.70;24.50;23/09/2023 19:50
176.00;290.00;16.40;84.40;5.70;0.00;1.60;22.50;27/02/2025 18:11
278.00;176.00;20.80;53.00;2.00;4.40;2.60;2.40;03/04/2020 05:58
276.00;278.00;33.10;57.90;5.80;2.70;1.40;44.80;30/08/2023 03:00
122.00;276.00;23.00;32.50;19.10;0.20;0.40;118.60;22/02/2020 02:11
251.00;122.00;29.70;79.00;1.40;9.10;4.60;1.10;27/01/2021 06:42
255.00;251.00;17.40;73.00;14.20;0.10;0.60;124.20;19/04/2024 09:05
274.00;255.00;20.90;88.40;2.10;2.40;2.70;7.60;16/05/2024 20:06
202.00;274.00;17.10;52.60;8.50;2.90;1.60;40.50;18/04/2023 19:49
182.00;202.00;27.80;45.60;4.00;0.00;1.80;27.10;07/04/2022 04:22
105.00;182.00;24.30;62.80;2.40;4.60;1.40;4.40;29/01/2022 19:59
98.00;105.00;34.40;92.30;10.90;0.40;0.50;104.90;23/10/2021 05:10
102.00;98.00;27.40;68.50;1.90;8.70;4.20;0.00;19/07/2024 15:06
133.00;102.00;25.80;64.70;1.50;9.10;4.40;0.00;29/03/2021 11:58
273.00;133.00;16.50;30.70;1.90;7.30;4.80;1.00;29/01/2024 11:22
239.00;273.00;30.30;47.90;3.80;5.50;1.20;6.20;28/09/2024 04:21
127.00;239.00;22.20;56.30;9.50;0.70;1.00;48.10;17/05/2020 16:14
116.00;127.00;16.00;91.80;5.10;1.40;0.30;49.20;20/05/2024 10:31
65.00;116.00;22.70;88.70;1.20;7.80;3.80;1.10;09/06/2022 07:22
80.00;65.00;18.60;34.70;1.20;9.70;2.80;1.70;10/06/2020 14:31
287.00;80.00;25.50;65.80;1.00;8.50;6.60;0.00;16/07/2024 17:43
113.00;287.00;31.10;77.20;10.50;0.90;0.60;116.40;17/03/2022 01:10
254.00;113.00;21.50;65.80;2.80;8.20;2.40;0.90;24/03/2022 03:37
143.00;254.00;18.10;85.80;4.30;2.00;1.80;19.40;10/06/2021 15:06
279.00;143.00;33.00;62.40;1.40;11.90;4.20;0.00;12/07/2023 08:59
109.00;279.00;30.50;53.90;2.80;3.00;2.20;2.60;29/05/2023 10:47
148.00;109.00;20.00;60.50;2.30;2.80;2.60;6.40;22/11/2020 11:24
75.00;148.00;21.80;74.70;2.10;8.80;2.60;0.60;20/03/2024 06:41
76.00;75.00;21.20;64.10;2.50;4.80;1.30;5.90;08/09/2021 14:18
176.00;76.00;34.50;63.00;1.10;9.60;4.20;0.00;17/09/2023 11:00
60.00;176.00;27.20;59.60;0.90;10.90;5.90;0.00;03/04/2024 03:33
116.00;60.00;25.80;81.40;5.50;2.40;1.30;27.20;07/10/2024 16:52
51.00;116.00;27.70;80.40;1.60;8.10;4.80;0.20;05/07/2021 14:53
161.00;51.00;16.00;34.80;1.90;9.90;4.50;0.00;18/10/2021 22:39
115.00;161.00;25.30;61.00;8.30;2.80;0.40;14.40;24/05/2021 20:00
149.00;115.00;17.70;75.10;2.00;7.90;2.80;0.70;03/01/2022 15:54
149.00;149.00;22.50;54.70;16.00;0.10;0.60;106.60;09/03/2024 19:00
67.00;149.00;28.90;92.70;2.20;7.20;4.90;1.30;26/12/2023 15:32
126.00;67.00;28.60;56.70;1.80;8.40;6.20;0.00;03/12/2022 20:51
227.00;126.00;27.30;83.20;2.00;3.10;1.60;4.70;04/09/2022 17:22
200.00;227.00;25.10;49.50;13.50;0.30;0.90;129.80;04/11/2020 18:08
119.00;200.00;24.40;88.90;2.50;5.30;2.00;2.80;14/07/2024 10:13
262.00;119.00;34.40;75.20;3.40;2.70;1.50;7.20;27/08/2021 04:30
166.00;262.00;26.50;93.10;3.60;5.90;1.90;7.40;06/02/2025 18:05
103.00;166.00;15.50;64.60;9.50;0.30;1.20;24.70;13/08/2024 07:15
127.00;103.00;32.50;36.70;6.90;0.30;0.10;12.90;15/10/2021 23:11
165.00;127.00;29.80;75.70;1.90;11.70;4.70;0.00;20/06/2022 08:09
175.00;165.00;28.70;90.00;2.40;8.70;4.10;0.20;21/07/2022 05:13
288.00;175.00;18.30;70.50;7.70;1.40;1.80;28.80;20/06/2023 17:30
225.00;288.00;20.90;53.70;1.00;7.00;4.80;0.30;11/12/2023 17:24
171.00;225.00;26.50;72.00;3.30;2.60;1.10;8.40;30/08/2024 19:33
246.00;171.00;26.00;86.20;12.00;0.20;0.90;117.40;12/03/2024 18:21
281.00;246.00;30.80;94.30;14.90;0.20;0.60;126.70;15/11/2021 05:26
262.00;281.00;29.30;35.00;19.70;0.20;0.50;50.30;31/05/2023 22:31
181.00;262.00;21.30;60.30;5.70;1.10;0.00;21.80;29/06/2024 00:20
198.00;181.00;29.40;55.50;3.70;3.60;1.60;3.20;25/06/2024 11:16
141.00;198.00;31.80;94.30;11.00;0.40;0.70;56.00;30/08/2022 17:14
265.00;141.00;26.30;69.00;2.50;4.10;2.90;3.60;08/03/2024 08:32
176.00;265.00;22.50;75.70;4.70;0.80;1.40;32.10;07/08/2020 20:52
291.00;176.00;20.50;43.50;7.20;2.20;0.50;39.60;29/09/2021 18:10
230.00;291.00;20.80;42.40;4.60;0.90;1.30;10.80;25/10/2021 18:20
245.00;230.00;30.70;41.00;3.30;3.90;2.80;6.60;27/10/2021 00:28
134.00;245.00;32.60;43.60;1.80;9.00;5.20;0.00;02/07/2024 14:59
202.00;134.00;21.80;63.90;2.80;4.60;1.70;3.70;28/03/2020 17:47
288.00;202.00;22.10;64.80;10.80;0.50;0.60;65.40;08/12/2021 05:53
61.00;288.00;15.40;58.70;12.80;0.10;0.30;122.40;24/08/2024 22:22
221.00;61.00;26.50;67.30;3.70;3.20;2.60;2.70;16/03/2024 14:19
130.00;221.00;23.40;68.00;0.90;9.90;5.10;0.00;13/01/2023 22:52
241.00;130.00;25.60;42.80;1.60;8.40;6.10;0.00;12/04/2021 20:29
185.00;241.00;27.10;54.60;1.10;10.80;5.20;0.00;02/12/2022 08:22
73.00;185.00;21.90;41.90;14.40;0.90;0.40;112.40;30/11/2023 18:53
200.00;73.00;19.90;88.00;9.00;1.70;0.80;23.10;10/09/2021 15:45
110.00;200.00;24.40;93.90;17.00;0.40;0.10;85.20;12/03/2025 02:00
77.00;110.00;30.20;69.90;1.40;8.60;5.70;0.00;31/08/2020 19:46
284.00;77.00;21.60;68.70;1.10;9.60;4.00;0.00;02/06/2023 02:18
59.00;284.00;17.40;36.40;16.50;0.80;0.40;146.30;22/05/2024 10:02
217.00;59.00;21.10;70.90;8.70;1.10;0.10;12.50;10/02/2023 13:06
192.00;217.00;24.20;37.50;2.70;6.60;4.20;1.50;10/05/2023 18:41
244.00;192.00;19.50;30.20;2.70;2.90;2.90;7.40;13/09/2021 05:05
241.00;244.00;23.80;62.80;2.40;6.50;3.60;1.40;03/06/2022 18:41
78.00;241.00;24.10;73.60;2.50;6.90;4.30;0.10;08/01/2023 17:51
224.00;78.00;23.00;58.20;12.60;0.70;0.30;60.00;08/09/2021 12:11
244.00;224.00;20.10;84.00;3.70;2.50;2.30;7.50;16/01/2025 02:30
215.00;244.00;15.70;40.80;8.30;2.60;1.70;20.80;01/11/2021 20:54
274.00;215.00;19.30;41.30;2.50;3.50;2.50;3.40;22/09/2022 08:49
197.00;274.00;27.70;55.80;0.70;11.20;4.90;0.00;12/07/2021 00:33
174.00;197.00;24.00;93.70;2.60;3.20;2.00;6.80;28/12/2024 18:51
282.00;174.00;29.90;60.40;6.80;0.70;1.10;44.20;28/11/2024 00:29
184.00;282.00;17.80;41.10;3.30;4.00;1.60;7.30;17/03/2021 23:07
203.00;184.00;30.70;87.40;1.80;11.00;6.60;0.00;27/04/2022 07:54
267.00;203.00;25.70;63.10;2.90;3.80;1.80;7.90;27/05/2024 02:41
90.00;267.00;24.30;86.70;2.90;5.60;2.60;4.60;25/09/2020 08:22
120.00;90.00;21.70;83.30;6.20;1.90;1.30;25.20;30/10/2024 04:03
164.00;120.00;34.10;88.60;0.70;9.80;5.50;0.00;22/08/2020 06:44
194.00;164.00;32.70;86.90;6.40;2.60;0.60;40.40;28/10/2021 22:38
136.00;194.00;18.40;79.10;3.60;2.10;2.70;6.40;14/04/2021 17:34
96.00;136.00;33.60;76.30;2.70;4.50;2.00;2.00;06/07/2020 23:30
122.00;96.00;21.80;31.20;4.80;0.70;0.90;42.20;11/11/2020 08:07
178.00;122.00;18.40;65.90;2.50;8.30;4.70;0.20;21/12/2020 14:02
125.00;178.00;28.20;42.10;1.80;9.60;6.10;0.00;13/02/2020 01:23
101.00;125.00;17.70;81.30;7.30;2.00;1.90;28.90;28/01/2024 22:00
73.00;101.00;20.90;32.30;1.90;9.10;4.60;1.20;04/05/2023 20:53
145.00;73.00;22.50;77.30;2.60;8.90;4.30;0.50;13/01/2022 06:50
297.00;145.00;24.30;35.40;1.30;7.50;3.70;1.30;11/04/2020 07:30
182.00;297.00;23.00;71.20;2.10;3.90;1.60;8.80;05/07/2020 21:23
198.00;182.00;17.80;71.10;1.50;10.40;6.70;0.00;15/12/2022 18:36
291.00;198.00;26.50;72.00;2.30;2.30;1.30;3.60;29/03/2020 14:27
203.00;291.00;26.80;47.90;5.00;2.80;1.50;36.80;08/06/2023 14:36
94.00;203.00;20.40;76.90;1.40;7.70;4.90;1.20;17/03/2025 02:26
298.00;94.00;34.20;55.10;2.50;9.20;4.40;1.00;20/03/2022 15:21
203.00;298.00;30.50;56.00;19.50;0.30;0.80;86.70;23/01/2023 18:09
185.00;203.00;34.30;83.60;1.70;10.30;4.20;0.00;05/07/2022 05:09
83.00;185.00;30.30;52.20;1.40;9.10;6.10;0.00;15/06/2022 00:22
91.00;83.00;21.30;78.20;7.30;0.80;1.60;32.90;15/08/2021 08:57
93.00;91.00;26.70;84.30;1.60;8.00;6.10;0.00;14/09/2020 07:39
84.00;93.00;23.30;52.10;3.70;5.50;1.20;2.10;28/11/2023 01:00
102.00;84.00;18.70;92.00;4.20;1.50;1.50;36.30;27/07/2023 23:58
87.00;102.00;23.60;39.70;15.50;0.30;0.50;72.40;19/11/2024 13:35
194.00;87.00;17.60;41.30;0.90;10.60;6.40;0.00;13/03/2025 10:12
138.00;194.00;25.90;38.30;3.80;4.10;2.70;4.30;16/07/2020 18:08
61.00;138.00;23.50;51.10;2.70;4.40;2.20;7.20;20/01/2024 22:13
121.00;61.00;21.00;77.70;9.30;0.00;0.70;39.10;08/09/2020 14:48
102.00;121.00;30.60;32.20;4.40;0.10;1.50;12.80;05/01/2020 02:18
244.00;102.00;26.80;64.60;6.90;2.00;0.80;41.10;29/12/2023 08:41
297.00;244.00;18.30;53.60;10.50;0.70;0.30;75.60;06/04/2022 06:48
125.00;297.00;16.40;85.00;2.80;4.90;1.70;9.80;09/01/2025 08:57
224.00;125.00;20.30;61.10;14.30;0.80;0.00;98.10;08/12/2021 06:42
76.00;224.00;23.40;47.80;1.20;11.20;5.30;0.00;03/04/2020 09:15
75.00;76.00;22.50;73.70;3.20;5.30;1.50;3.50;05/05/2020 21:03
225.00;75.00;20.70;65.70;3.10;2.70;1.90;5.30;13/10/2021 18:19
135.00;225.00;15.20;74.80;5.90;0.00;1.50;20.90;02/01/2022 03:35
76.00;135.00;31.50;39.00;7.50;2.70;1.30;40.60;04/12/2022 10:57
99.00;76.00;26.20;91.40;5.40;0.60;0.50;49.00;13/10/2024 17:15
112.00;99.00;22.20;30.70;2.60;5.00;2.80;9.30;21/06/2023 05:55
205.00;112.00;26.10;92.30;0.50;9.10;6.60;0.00;31/03/2021 20:18
191.00;205.00;33.50;77.00;1.10;8.90;4.80;1.00;01/04/2024 20:24
254.00;191.00;24.90;51.50;0.60;8.10;4.40;0.00;23/04/2020 00:09
101.00;254.00;32.20;35.50;9.70;1.40;0.30;16.40;01/12/2020 01:08
208.00;101.00;33.10;90.10;5.10;1.40;1.90;40.90;31/10/2020 11:06
152.00;208.00;26.50;75.80;6.60;0.80;0.30;43.70;13/03/2022 08:11
216.00;152.00;19.90;81.40;2.60;3.50;1.40;3.60;07/03/2021 22:31
196.00;216.00;28.20;34.00;5.40;1.40;0.10;49.50;03/11/2022 22:41
175.00;196.00;25.10;88.10;1.50;11.60;4.60;0.00;07/02/2024 23:20
99.00;175.00;33.80;57.70;14.50;0.70;0.50;108.70;04/02/2021 03:21
101.00;99.00;28.90;79.90;7.10;2.10;0.10;12.90;02/05/2024 07:38
239.00;101.00;29.70;54.20;2.70;6.20;4.70;0.20;29/05/2022 13:04
87.00;239.00;20.20;67.30;11.10;0.40;0.00;107.00;18/12/2022 08:46
208.00;87.00;31.50;56.00;1.90;11.50;5.90;0.00;15/09/2021 14:12
64.00;208.00;30.60;36.80;9.20;1.90;0.40;24.70;24/02/2024 13:08
241.00;64.00;22.10;35.90;3.50;2.70;2.90;4.60;29/09/2023 18:50
111.00;241.00;15.40;41.60;5.50;1.10;0.00;32.90;02/12/2023 09:38
277.00;111.00;30.60;36.90;16.30;0.30;0.90;73.20;18/04/2020 23:12
108.00;277.00;16.20;35.30;2.50;7.60;3.30;0.40;26/06/2023 21:11
186.00;108.00;26.00;92.90;1.80;9.30;6.10;0.00;21/03/2022 20:07
94.00;186.00;17.80;88.40;7.70;1.20;1.60;17.60;15/06/2023 00:18
178.00;94.00;30.00;47.70;6.20;0.20;1.00;26.20;19/08/2020 12:43
228.00;178.00;25.30;58.30;1.20;9.50;4.90;0.00;10/11/2023 11:58
283.00;228.00;31.60;63.10;1.90;9.40;4.70;1.50;27/08/2020 17:01
175.00;283.00;23.20;83.20;2.90;8.20;4.10;1.50;24/10/2021 22:44
212.00;175.00;17.40;71.10;8.00;1.30;0.00;37.40;08/06/2024 18:23
119.00;212.00;17.80;43.80;2.20;3.70;1.70;7.60;27/03/2021 09:01
203.00;119.00;29.20;80.50;8.80;0.60;0.10;38.30;01/03/2022 22:56
133.00;203.00;17.20;67.40;0.70;8.90;6.90;0.00;03/02/2020 05:36
213.00;133.00;27.50;34.50;14.50;0.80;0.20;139.10;14/06/2020 04:31
86.00;213.00;31.00;35.60;1.10;8.60;5.20;0.00;19/06/2021 20:06
133.00;86.00;32.00;53.60;1.40;8.30;4.60;0.00;28/07/2020 16:27
