Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(Â°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(Â°C);TEMPERATURA MINIMA, DIARIA(Â°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);UMIDADE DO SOLO ESTIMADA;MEDIA DIARIA DE VAZ�O
28/02/1961;2,8;10,6;1.5;26,4;21.7;17,7;67.3;57.0;2,3;4.447.136.563.876.650;76.61
01/03/1961;2,9;10,8;0.0;28,7;22.6;17,5;69.3;52.0;1,7;0.0;76.1
02/03/1961;3;11;0.0;31,6;24.2;18;69.5;48.0;0,7;0.0;76.1
03/03/1961;3,1;10;0.0;34,6;25.0;20;71.3;50.0;3,7;0.0;76.1
04/03/1961;3,8;8,9;0.0;28,4;24.4;21,7;74.8;66.0;2,7;0.0;76.1
05/03/1961;2,5;0;4.7;24;20.3;19,3;83.3;81.0;4;1.838.075.117.370.890;77.68
06/03/1961;2,2;9,2;0.9;24,4;20.6;17,8;61.8;59.0;3,3;25.749.999.999.999.900;76.4
07/03/1961;3,8;9,1;0.0;28,1;22.6;17,8;70.0;56.0;1;0.0;76.1
08/03/1961;2,7;2,9;0.0;25,5;22.3;19,8;90.8;76.0;1;0.0;76.1
09/03/1961;0,9;8,7;4.9;32,1;25.8;19,8;79.3;64.0;1;14.498.880.597.014.900;77.75
10/03/1961;2,2;8,5;0.0;35,3;26.1;22;82.3;57.0;0,3;0.0;76.1
11/03/1961;2,4;0;25.6;24,2;22.9;22;93.8;90.0;1;10.047.196.652.719.600;84.69
12/03/1961;2,3;0,2;11.1;27,8;23.8;21;92.3;84.0;0;413.116.935.483.871;79.83
13/03/1961;0,8;0,2;1.9;26,5;22.9;21,5;90.3;82.0;0,7;7.178.661.087.866.100;76.74
14/03/1961;1,1;10,1;0.9;28,9;22.4;18,5;75.0;53.0;1;28.846.153.846.153.800;76.4
15/03/1961;2,6;7,9;0.0;31,2;24.2;17,7;72.8;59.0;1;0.0;76.1
16/03/1961;2;0;1.9;25,1;22.4;21;97.0;75.0;0,7;7.876.068.376.068.370;76.74
17/03/1961;0,6;0;64.6;21,3;18.4;17,2;84.5;92.0;3,3;28.137.628.865.979.300;97.78
18/03/1961;0,9;3,3;16.7;21,2;17.4;13;79.8;68.0;1,3;7.242.717.391.304.340;81.71
19/03/1961;1,5;5,3;0.0;23,3;18.9;14,2;89.3;80.0;0,7;0.0;76.1
20/03/1961;1,2;0;1.6;22,7;20.2;18,2;92.0;88.0;1;69.433.962.264.150.900;76.64
21/03/1961;0,6;9,8;11.3;27,8;21.8;18,2;82.3;59.0;1;407.890.350.877.193;79.89
22/03/1961;1,8;10,2;0.0;31,1;22.9;16,4;74.5;50.0;0,7;0.0;76.1
23/03/1961;2,1;10,5;0.0;33,2;24.9;18,2;78.3;54.0;0;0.0;76.1
24/03/1961;2,5;9,5;0.0;34,8;26.7;19,8;73.5;54.0;0,3;0.0;76.1
25/03/1961;3,1;0,9;16.1;27,2;22.6;20,8;92.5;79.0;0;6.310.381.355.932.200;81.51
26/03/1961;1,2;9,2;4.4;24;21.2;19,8;71.8;62.0;3,3;14.230.630.630.630.600;77.58
27/03/1961;3;10,2;0.7;24,3;19.7;15,8;63.3;49.0;2,3;21.405.797.101.449.200;76.34
28/03/1961;3,7;9,4;0.0;25,7;20.4;16,6;66.5;57.0;2;0.0;76.1
29/03/1961;3,2;9,9;0.0;27,3;21.5;16,1;68.0;47.0;1,3;0.0;76.1
30/03/1961;3,3;9,9;0.0;28,8;22.1;17,7;69.8;47.0;1,3;0.0;76.1
31/03/1961;3,3;8,1;0.0;28,5;22.3;16,6;64.0;49.0;1;0.0;76.1
01/04/1961;3,6;2,5;0.0;26,6;22.2;18;74.8;57.0;1;0.0;76.1
02/04/1961;2,1;2,4;1.6;25,9;21.8;19,7;79.0;68.0;1,3;5.543.859.649.122.800;76.64
03/04/1961;1,8;6,9;0.0;27,7;22.2;18,3;77.0;68.0;0,3;0.0;76.1
04/04/1961;1,9;5,5;5.7;27,3;23.0;19,2;79.8;67.0;0,7;189.525;78.02
05/04/1961;1,8;9,6;0.0;27,3;21.8;18,8;84.0;67.0;1;0.0;76.1
06/04/1961;2,3;9,7;0.0;22;17.7;16,2;63.3;48.0;1,3;0.0;76.1
07/04/1961;2,9;9,6;0.0;27,6;19.5;12,6;78.8;62.0;0;0.0;76.1
08/04/1961;2;9,1;0.0;31;23.0;15,4;74.8;52.0;0,7;0.0;76.1
09/04/1961;3,1;6,1;0.0;25,6;21.5;19,9;80.5;70.0;2;0.0;76.1
10/04/1961;2,2;1,5;0.0;26,3;22.2;19;86.8;76.0;0,7;0.0;76.1
11/04/1961;1;0;2.9;22,2;20.8;20,2;96.5;91.0;1;1.283.715.596.330.270;77.08
12/04/1961;0,4;0;17.7;22,8;20.6;18,8;88.3;90.0;0,3;7.235.694.444.444.440;82.04
13/04/1961;0,8;0;8.4;21,8;19.8;17,9;89.0;85.0;0,3;3.594.230.769.230.760;78.92
14/04/1961;2,6;2,3;0.0;24,7;20.7;18,1;87.0;75.0;2;0.0;76.1
15/04/1961;1,5;0;5.8;22;20.0;19;85.0;74.0;1,7;23.476.190.476.190.400;78.05
16/04/1961;1;3,5;1.5;26,2;22.0;19,6;85.0;74.0;1,3;5.543.478.260.869.560;76.61
17/04/1961;1,2;1,2;0.0;24,3;22.3;21,2;95.0;90.0;0;0.0;76.1
18/04/1961;0,6;6,1;3.8;24,6;21.1;19,8;80.8;69.0;2,7;13.893.212.669.683.200;77.38
19/04/1961;2,2;9,1;1.1;21,8;18.3;15,2;67.8;53.0;1,7;3.864.248.704.663.210;76.47
20/04/1961;2;8,5;0.0;22,1;16.9;12,8;78.3;62.0;1,7;0.0;76.1
21/04/1961;2;10;0.0;26;19.8;14,4;75.3;58.0;0,7;0.0;76.1
22/04/1961;2,1;0;0.0;23,8;19.8;16,8;82.5;74.0;0;0.0;76.1
23/04/1961;1,4;9,5;0.0;25;19.6;16,6;77.8;54.0;2,7;0.0;76.1
24/04/1961;2,3;9,3;0.0;21,2;15.8;14,1;75.5;52.0;1,3;0.0;76.1
25/04/1961;2,2;7,5;0.0;19,1;14.1;9,6;76.0;63.0;0,3;0.0;76.1
26/04/1961;1,2;6,9;0.0;21,4;14.8;10,4;86.0;63.0;1;0.0;76.1
27/04/1961;1,1;9;0.0;23,5;17.0;11,6;76.8;58.0;1,7;0.0;76.1
28/04/1961;2;6;0.0;21,9;16.0;13,9;81.0;61.0;0,7;0.0;76.1
29/04/1961;1,1;4,2;5.9;19,5;14.6;10,4;88.3;77.0;0;3.339.551.282.051.280;78.08
30/04/1961;0,8;9,2;0.0;25;17.3;11,7;72.8;61.0;0;0.0;76.1
01/05/1961;1,6;8,8;0.0;21,7;16.7;13,4;69.3;50.0;1,7;0.0;76.1
02/05/1961;2,3;8,8;0.0;23,6;17.9;13,5;81.8;65.0;1,7;0.0;76.1
03/05/1961;1,2;5,3;0.0;23,2;18.9;16,4;87.5;74.0;0,7;0.0;76.1
04/05/1961;0,9;9,6;0.0;25,5;19.1;14,4;81.8;57.0;1,3;0.0;76.1
05/05/1961;1,9;9,2;0.0;26,2;20.0;15,6;86.3;67.0;1;0.0;76.1
06/05/1961;1,4;3,5;0.0;24,5;20.9;18,6;90.0;78.0;0,3;0.0;76.1
07/05/1961;0,7;6,4;0.0;26,3;21.5;19,6;89.0;69.0;0;0.0;76.1
08/05/1961;1,4;0;7.7;20,8;17.1;15,5;94.5;90.0;1,7;4.020.165.745.856.350;78.69
09/05/1961;0,3;7,1;1.8;23,8;17.6;15,1;87.8;69.0;0;8.496.774.193.548.380;76.71
10/05/1961;0,7;4,1;0.0;21,5;17.6;13;85.3;76.0;1,7;0.0;76.1
11/05/1961;1,7;8,9;0.0;25,2;19.9;17;81.0;60.0;1,3;0.0;76.1
12/05/1961;1,6;9,2;0.0;27,2;19.5;14,9;79.8;55.0;0;0.0;76.1
13/05/1961;2;9;0.0;27,2;19.5;14,4;81.0;60.0;0;0.0;76.1
14/05/1961;2;5,9;0.0;23,9;19.3;15,6;83.8;70.0;0,3;0.0;76.1
15/05/1961;1,1;2,7;0.0;23,3;18.9;15,2;90.5;77.0;0;0.0;76.1
16/05/1961;0,7;0;3.0;20,3;19.3;19;96.5;94.0;0;14.261.083.743.842.300;77.11
17/05/1961;0,4;0;35.3;20,4;19.1;18,2;95.5;94.0;0,7;16.771.890.547.263.600;87.95
18/05/1961;0,5;1;10.4;21,4;18.6;17,5;86.3;75.0;1;45.791.836.734.693.800;79.59
19/05/1961;0,8;6,2;0.2;18;14.0;12,2;69.0;45.0;3;0.92;76.17
20/05/1961;2,4;9,2;0.0;16,1;10.9;8,2;83.0;60.0;1;0.0;76.1
21/05/1961;1,5;9,2;0.0;20,8;12.6;6,5;87.8;68.0;0;0.0;76.1
22/05/1961;0,7;8,7;0.0;23,4;14.9;9;86.3;59.0;0;0.0;76.1
23/05/1961;1;8,8;0.0;24,4;15.8;11;87.8;63.0;0;0.0;76.1
24/05/1961;1;6,1;0.0;22,8;16.4;11,8;90.8;76.0;0,7;0.0;76.1
25/05/1961;0,9;5,8;0.0;22;16.9;13,3;91.3;77.0;0,7;0.0;76.1
26/05/1961;0,5;7,3;0.0;24,2;16.8;13,6;88.3;63.0;0;0.0;76.1
27/05/1961;0,9;8,6;0.0;25;16.7;11,8;84.8;55.0;0,3;0.0;76.1
28/05/1961;1,5;5,9;0.0;23,8;17.7;13;84.0;66.0;0;0.0;76.1
29/05/1961;0,8;8,7;0.0;26,4;18.0;13,1;82.5;56.0;0,3;0.0;76.1
30/05/1961;1,4;8,7;0.0;25,9;17.5;12,8;82.5;49.0;0,7;0.0;76.1
31/05/1961;2,1;8,8;0.0;27,6;19.0;11,9;68.8;50.0;1,7;0.0;76.1
01/06/1961;2,2;0;0.0;21,2;17.8;15,2;83.0;67.0;1,3;0.0;76.1
02/06/1961;1,4;8,6;1.8;22,8;18.4;14,7;83.0;68.0;2;7.701.030.927.835.050;76.71
03/06/1961;1,5;7,7;0.0;28,2;21.4;15,4;66.0;48.0;1;0.0;76.1
04/06/1961;2,8;0,3;0.0;26,1;18.7;14,6;86.8;68.0;1,3;0.0;76.1
05/06/1961;1;0;37.1;16,2;15.1;13,5;83.5;75.0;3;19.241.304.347.826.000;88.55
06/06/1961;1,5;8,8;0.4;24,5;19.6;15,5;85.5;74.0;1;16.601.941.747.572.800;76.24
07/06/1961;1,2;8;0.0;28,9;21.5;15,5;78.3;58.0;0,7;0.0;76.1
08/06/1961;2,1;8,8;0.0;29,6;21.6;16,4;78.8;55.0;1;0.0;76.1
09/06/1961;2,5;6,2;0.0;27,4;20.6;17,6;81.3;55.0;0,3;0.0;76.1
10/06/1961;1,8;0;34.1;19,7;16.4;14,8;95.0;91.0;2,7;18.617.816.091.954.000;87.55
11/06/1961;0,8;0,2;29.3;15,3;13.8;12,6;85.0;79.0;2,3;16.827.702.702.702.700;85.93
12/06/1961;0,7;0;0.4;14,1;12.2;11;96.5;87.0;2,3;29.242.424.242.424.200;76.24
13/06/1961;0,4;0;4.8;12,4;10.1;9,2;92.0;94.0;2,7;3.978.378.378.378.370;77.71
14/06/1961;0,5;8,6;7.0;11,3;7.8;6,4;72.5;56.0;2;5.767.045.454.545.450;78.45
15/06/1961;1,8;8,6;0.0;11,8;7.0;3,8;73.3;54.0;3;0.0;76.1
16/06/1961;1,4;8,5;0.0;12,5;5.9;1,4;80.3;54.0;1;0.0;76.1
17/06/1961;1;7,8;0.0;16,4;7.6;0,8;86.0;64.0;0,3;0.0;76.1
18/06/1961;1;1,9;0.0;16,5;9.9;3,5;90.3;74.0;0;0.0;76.1
19/06/1961;0,6;1,4;1.1;17,3;13.5;11,3;94.3;85.0;0;7.153.793.103.448.270;76.47
20/06/1961;0,3;0;29.9;15,2;14.0;13;96.8;95.0;0,7;19.295.466.666.666.600;86.14
21/06/1961;0,2;2;0.1;18,2;15.2;13,5;93.8;84.0;0;0.5790123456790124;76.14
22/06/1961;0,4;6,5;0.0;20,9;15.7;13,2;90.8;71.0;0,3;0.0;76.1
23/06/1961;0,7;1,5;0.1;16,5;13.8;12,4;97.8;91.0;0;0.6608108108108108;76.14
24/06/1961;0,2;6,6;0.2;20,7;14.0;10,8;90.5;70.0;0;12.066.666.666.666.600;76.17
25/06/1961;0,7;8,5;0.0;25,2;16.0;9,4;86.8;60.0;0;0.0;76.1
26/06/1961;0,7;7,4;0.0;28,7;20.8;13,4;65.3;53.0;1,3;0.0;76.1
27/06/1961;3;8,1;0.0;29,9;22.4;16,6;64.5;47.0;1;0.0;76.1
28/06/1961;3;6,7;0.0;29,4;21.8;16,6;75.3;46.0;1,3;0.0;76.1
29/06/1961;2,6;0;23.8;22,1;16.5;13,1;98.0;88.0;0;133.28;84.09
30/06/1961;0,2;0;68.0;20;18.2;16,4;93.3;91.0;1;3.304.375;98.92
01/07/1961;0,4;5,8;0.2;25,3;18.8;15;91.0;74.0;0;0.9191919191919191;76.17
02/07/1961;0,6;0;0.0;19;15.8;14,7;85.3;80.0;2,7;0.0;76.1
03/07/1961;1;0,2;8.7;15,1;13.8;12,8;85.3;80.0;0,3;5.014.256.756.756.750;79.02
04/07/1961;0,5;7,3;0.0;23;17.8;13;81.3;67.0;0,7;0.0;76.1
05/07/1961;1;8,4;0.0;27,3;18.5;13,4;85.3;56.0;0;0.0;76.1
06/07/1961;1,5;2,5;0.0;25,2;16.7;13,7;85.5;72.0;1,3;0.0;76.1
07/07/1961;1,3;0;5.8;13,9;12.1;10,6;90.5;88.0;1,3;4.006.870.229.007.630;78.05
08/07/1961;0,5;2,9;16.9;14,5;12.0;11;81.3;75.0;2,7;10.568.999.999.999.900;81.77
09/07/1961;1,3;0;0.0;13,2;11.0;9,3;80.8;72.0;0,3;0.0;76.1
10/07/1961;0,7;7,1;0.0;20,2;13.6;8;84.8;64.0;0,3;0.0;76.1
11/07/1961;1,2;8,9;0.0;22,6;15.8;11,2;85.3;61.0;0,7;0.0;76.1
12/07/1961;1,1;7,6;0.0;25,3;18.6;14,8;83.3;62.0;0;0.0;76.1
13/07/1961;1,4;5,1;2.0;22;17.7;15,5;90.0;78.0;2;9.625.668.449.197.860;76.77
14/07/1961;0,8;0,2;1.8;17,5;15.0;14,2;87.0;68.0;1,7;97.875;76.71
15/07/1961;0,9;0,6;5.6;20,7;17.1;13,8;93.8;85.0;0;29.020.994.475.138.100;77.98
16/07/1961;0,5;0,8;0.6;21;17.7;15,5;94.5;84.0;0,3;3.032.085.561.497.320;76.3
17/07/1961;0,5;0;4.0;19,7;16.9;14,6;94.5;84.0;0;21.117.318.435.754.100;77.44
18/07/1961;0,4;8,7;0.1;23,4;17.2;13,2;87.0;67.0;0;0.4780219780219781;76.14
19/07/1961;0,9;8,7;0.0;29,5;20.7;13,4;72.5;56.0;0,7;0.0;76.1
20/07/1961;2,5;9,2;0.0;30,5;22.0;14,5;58.8;41.0;0,7;0.0;76.1
21/07/1961;4;0;0.0;24,1;18.6;16,1;89.8;60.0;1,3;0.0;76.1
22/07/1961;1;9,3;8.1;19,2;13.4;10,6;72.5;49.0;1,7;4.078.125;78.82
23/07/1961;2;8,7;0.0;21,7;13.6;8,8;80.3;49.0;0,3;0.0;76.1
24/07/1961;1,2;8,4;0.0;23,8;16.0;9,8;79.5;58.0;0,3;0.0;76.1
25/07/1961;1,5;4,4;0.0;27,4;17.2;13,4;84.8;60.0;3;0.0;76.1
26/07/1961;2,3;5,2;3.1;15,1;10.1;8,4;77.3;61.0;1,3;2.158.828.828.828.820;77.14
27/07/1961;1,1;9;0.0;14;9.1;6,8;81.8;60.0;1,7;0.0;76.1
28/07/1961;1,1;8,6;0.0;12,9;7.4;3,5;81.5;59.0;0,7;0.0;76.1
29/07/1961;0,9;8,6;0.0;16,7;9.8;3;83.3;62.0;1;0.0;76.1
30/07/1961;1,3;6,5;0.0;19,9;13.0;8,5;87.3;69.0;0,3;0.0;76.1
31/07/1961;0,3;0;0.0;14,4;12.6;10,4;91.3;87.0;0;0.0;76.1
01/08/1961;0,5;4,4;0.0;19,4;14.9;11,9;83.3;66.0;3,3;0.0;76.1
02/08/1961;1,4;6,8;0.0;21,4;15.6;12,7;89.0;74.0;0;0.0;76.1
03/08/1961;0,6;7,3;0.0;22,6;15.3;11,5;90.8;71.0;0;0.0;76.1
04/08/1961;1;7,4;0.1;23,7;16.1;11;85.8;57.0;0;0.5017543859649123;76.14
05/08/1961;0,3;7,5;0.1;26,7;17.4;11,4;84.8;67.0;0;0.46086956521739136;76.14
06/08/1961;1,6;7,4;0.0;29,7;19.8;12,5;74.8;57.0;0;0.0;76.1
07/08/1961;1,8;3,2;0.0;20,9;17.7;15,2;81.5;74.0;2,3;0.0;76.1
08/08/1961;1,6;8,6;0.0;23;18.4;16,2;81.5;68.0;2,7;0.0;76.1
09/08/1961;1,5;7;0.0;24,5;17.8;14,2;89.3;73.0;1,3;0.0;76.1
10/08/1961;0,7;9;0.0;26,1;18.4;13,2;83.0;60.0;0;0.0;76.1
11/08/1961;1,6;0;0.0;18,8;17.2;16;88.0;87.0;2,7;0.0;76.1
12/08/1961;0,6;8,7;0.0;24,8;18.3;13,8;89.0;72.0;0;0.0;76.1
13/08/1961;1;7,5;0.0;26,6;20.3;16,2;74.3;62.0;0,3;0.0;76.1
14/08/1961;2,1;9,1;0.1;21,5;15.2;13,1;77.3;51.0;1,3;0.4771604938271605;76.14
15/08/1961;1,7;6,2;0.0;20;15.4;10;84.8;73.0;2;0.0;76.1
16/08/1961;1,2;6,4;22.7;20;16.3;14,6;81.0;54.0;0,7;10.628.323.699.421.900;83.72
17/08/1961;1,4;9,2;0.0;21,8;14.7;9,3;75.0;59.0;0,3;0.0;76.1
18/08/1961;1,1;9,3;0.0;24,7;16.0;9,9;77.3;58.0;0,3;0.0;76.1
19/08/1961;1,9;2,1;0.0;20,8;16.4;12,3;88.5;72.0;2,3;0.0;76.1
20/08/1961;1;5,3;8.1;23,1;18.2;15,6;91.0;75.0;0,3;38.390.625;78.82
21/08/1961;0,7;1,1;1.3;18,7;16.7;15,8;87.3;77.0;2;6.411.864.406.779.660;76.54
22/08/1961;1;9,7;0.0;25,7;18.5;13,8;82.0;57.0;0,3;0.0;76.1
23/08/1961;1,5;3;14.6;21,6;17.4;15,8;83.5;80.0;1,3;662.554.347.826.087;81.0
24/08/1961;1,3;4,4;0.0;24,7;19.7;13,6;78.3;70.0;0,7;0.0;76.1
25/08/1961;1,6;0;10.9;23,3;17.2;14,8;87.5;79.0;3;5.240.384.615.384.610;79.76
26/08/1961;0,9;9,9;6.1;21;15.2;9,7;79.3;60.0;1,3;29.859.876.543.209.800;78.15
27/08/1961;1,7;8,1;0.0;33,8;25.4;14,7;57.8;45.0;4;0.0;76.1
28/08/1961;4,3;9,2;0.0;26,8;20.9;17,7;90.3;62.0;2,3;0.0;76.1
29/08/1961;1,1;7,8;0.0;34,9;24.5;18,2;63.0;41.0;2,3;0.0;76.1
30/08/1961;4,2;10;24.2;23,5;18.6;16,6;65.8;56.0;2,7;8.124.285.714.285.710;84.22
31/08/1961;2,7;7,6;0.0;18,7;14.7;10,4;69.3;53.0;1;0.0;76.1
01/09/1961;2,4;6,5;0.0;23,2;17.6;12,8;80.5;66.0;1,3;0.0;76.1
02/09/1961;1,6;1,1;0.0;24,4;20.3;18;83.5;73.0;1;0.0;76.1
03/09/1961;1,7;1,3;2.4;21,6;19.4;18,2;94.5;91.0;1;11.117.647.058.823.500;76.91
04/09/1961;0,3;0;52.8;19,2;14.5;13;94.3;89.0;1,7;3.212.283.870.967.740;93.82
05/09/1961;0,4;0;35.7;13;11.6;10,6;96.8;95.0;0;2.742.666.666.666.660;88.08
06/09/1961;0,6;0;19.5;15,2;13.7;11,2;64.8;65.0;3,3;8.595.918.367.346.930;82.65
07/09/1961;2,3;8,4;0.0;19,7;16.1;12,4;63.5;54.0;4,3;0.0;76.1
08/09/1961;2,7;5,9;1.7;20,8;16.9;13,9;82.8;69.0;3;7.863.687.150.837.980;76.67
09/09/1961;1,3;3,6;5.8;23,3;18.8;15,8;83.8;88.0;1,7;24.547.474.747.474.700;78.05
10/09/1961;1,4;2,2;1.0;18,4;14.3;11;85.0;71.0;0;5.555.555.555.555.550;76.44
11/09/1961;1;2,9;0.0;19,1;15.2;9,4;82.0;74.0;2,3;0.0;76.1
12/09/1961;1,2;9,7;0.0;23,8;17.4;14,3;80.5;63.0;1,7;0.0;76.1
13/09/1961;2,4;1,7;0.0;22,4;19.5;14,8;81.8;68.0;1;0.0;76.1
14/09/1961;1,1;1,4;3.8;27,4;21.9;17;80.5;73.0;0,3;13.358.078.602.620.000;77.38
15/09/1961;1,7;0;5.1;23,3;18.7;16;94.8;78.0;2,3;2.454.213.197.969.540;77.81
16/09/1961;0,6;2,6;0.0;24,6;20.7;18,6;90.3;79.0;2;0.0;76.1
